39,36,39,38,38,39,38,38,39,39,39,39,40,40,40,40,40,40,43,40,40,40,40,40,42,42,42,43,43,42,43,43,43,43,43,43,43,43,43,43,43,43,42,42,43,46,46,45,46,47
36,32,33,33,33,35,35,33,35,36,35,35,36,36,36,36,38,38,39,39,39,39,39,38,38,38,38,38,38,38,38,39,39,39,40,40,40,40,40,42,40,40,40,40,39,39,40,40,40,40
39,35,35,35,35,35,35,36,36,36,36,38,38,38,38,38,38,39,39,39,39,40,39,39,40,40,42,42,40,40,40,40,39,39,40,40,42,42,42,42,42,43,43,43,43,42,40,40,42,42
38,35,36,36,36,36,35,36,36,36,36,36,36,38,38,38,38,38,38,39,39,40,39,39,40,40,40,45,36,17,17,22,36,42,42,40,40,40,40,40,40,40,40,43,43,45,43,43,43,43
36,33,36,36,36,38,38,38,38,38,36,36,38,38,38,38,38,38,38,38,38,38,39,39,39,40,43,25,36,73,72,49,42,24,21,38,43,43,42,42,42,40,40,42,40,40,43,43,43,43
36,33,35,35,35,35,36,36,38,38,39,38,38,38,38,38,38,38,38,38,38,38,38,39,39,42,22,33,115,194,229,190,128,101,73,40,17,25,40,45,43,43,43,42,40,40,42,42,43,42
38,33,35,35,35,35,35,36,36,36,38,38,38,38,38,38,38,38,38,39,39,39,39,39,42,25,25,101,181,255,255,255,171,131,147,128,98,64,29,14,33,45,43,45,43,43,43,43,42,42
38,35,36,36,36,36,36,36,36,36,35,36,36,36,38,38,38,38,38,39,40,39,39,40,30,19,110,142,143,213,242,198,128,127,133,142,151,144,122,88,40,17,40,43,43,45,46,45,45,43
38,35,38,36,36,38,38,38,36,38,36,36,38,36,36,38,38,38,38,38,38,39,40,35,12,97,150,137,127,119,112,100,117,121,133,133,134,138,150,156,140,87,32,40,42,42,42,42,45,46
36,33,35,35,35,36,36,36,38,38,38,40,39,38,38,38,38,38,38,38,38,38,36,10,84,148,135,132,134,122,162,229,233,176,125,131,135,136,135,134,158,165,64,24,42,42,42,42,40,43
38,32,35,36,36,35,35,35,36,36,36,39,39,39,39,38,38,38,38,39,39,40,14,68,147,139,131,133,131,119,221,255,255,233,128,129,135,135,134,143,154,117,63,32,43,43,43,43,42,42
38,35,36,36,36,36,36,36,36,36,36,36,38,38,38,38,38,38,38,38,40,27,50,137,144,132,133,133,134,124,158,222,221,150,117,134,136,134,136,154,130,136,76,29,43,43,43,43,43,43
38,33,36,35,36,38,36,36,36,38,38,36,36,38,36,36,38,38,38,38,36,21,108,151,134,133,132,132,133,138,124,107,103,136,135,121,136,134,151,125,136,227,84,15,40,36,38,39,40,43
39,35,36,36,36,36,38,36,36,36,36,38,38,38,38,36,38,38,38,38,30,42,108,130,136,138,137,134,133,135,128,130,210,255,240,167,121,147,150,69,198,207,38,54,25,10,8,38,45,39
38,33,36,36,36,36,36,36,38,38,38,36,38,38,38,38,38,39,39,39,30,51,86,89,106,121,131,138,139,136,119,155,255,255,255,208,125,154,113,51,132,159,80,38,112,192,163,80,65,50
39,35,39,25,14,17,15,19,19,21,24,27,29,33,35,36,38,38,39,39,30,54,83,70,77,84,97,111,124,132,136,133,177,224,202,148,147,105,70,49,89,212,101,47,233,255,255,176,50,60
39,35,25,61,78,56,51,56,71,60,54,50,46,29,14,22,17,27,39,38,29,58,92,72,73,73,75,78,85,101,99,104,113,128,135,150,130,127,78,24,191,218,68,17,132,217,191,118,63,49
38,27,35,102,147,206,217,156,115,124,121,121,98,89,96,71,77,53,30,38,27,55,99,73,73,75,75,76,73,66,110,128,83,111,161,126,148,223,87,30,148,183,103,94,187,220,147,49,78,40
36,15,55,114,225,255,255,237,116,112,123,111,146,221,239,203,139,105,38,33,32,50,97,79,73,75,76,76,73,43,197,250,184,103,93,93,216,197,42,77,112,211,103,155,255,255,249,103,50,32
36,12,77,119,185,249,249,185,89,83,97,90,191,255,255,255,152,94,46,33,36,43,89,80,69,73,76,77,75,43,140,255,255,192,64,90,155,140,71,122,217,245,54,50,210,208,128,83,59,25
32,24,98,125,102,120,122,94,147,193,158,100,125,196,226,174,123,98,35,35,36,43,77,60,47,59,78,79,77,75,50,137,214,142,78,79,102,207,101,98,215,159,63,200,236,210,84,64,58,25
29,43,114,122,107,102,86,160,255,255,255,177,82,93,100,98,130,96,27,35,38,32,69,167,169,100,75,86,82,83,79,49,51,71,99,69,203,214,50,73,88,0,95,255,255,255,160,39,35,30
22,63,118,100,121,107,84,151,249,255,249,152,80,95,112,124,133,84,25,33,36,21,46,223,255,226,118,73,80,82,83,80,86,105,104,80,174,159,58,79,50,47,61,125,191,155,83,80,43,25
21,69,123,191,245,229,151,92,125,162,126,93,145,154,117,117,129,70,27,32,35,25,2,98,233,255,141,55,78,80,82,80,90,106,106,78,98,205,130,30,47,94,102,60,21,43,100,111,113,50
27,72,147,255,255,255,201,93,106,92,90,191,255,255,217,128,113,53,30,27,14,17,51,50,71,110,78,77,82,79,80,83,84,89,98,65,180,255,105,0,8,32,12,15,17,17,50,108,153,77
35,97,112,171,231,202,123,100,111,112,98,212,255,255,233,131,96,36,14,27,51,111,131,89,73,54,66,69,68,76,82,83,82,80,95,77,184,169,0,0,22,2,88,180,147,71,0,89,134,61
43,96,128,121,116,105,120,137,134,130,118,128,185,190,136,128,79,5,60,96,173,245,247,181,99,101,97,85,75,66,64,76,77,69,94,100,77,8,0,0,2,0,187,255,255,229,45,21,49,40
45,83,98,104,101,104,112,121,128,126,127,117,99,93,113,132,79,56,112,118,215,255,255,219,95,95,101,101,101,90,80,68,76,106,101,90,47,0,15,64,21,0,87,227,255,188,35,15,17,32
